Data waluty;Data ksiegowania;Symbol;Isin;kwota;podatek;kurs;kwota PLN;podatek PLN
22-06-2023;29-06-2023;NOBL.US;US74348A4673;2,59;1,11000000;4,0719;10,55;4,52
30-06-2023;06-07-2023;VGT.US;US92204A7028;0,48;0,20000000;4,0869;1,96;0,82
30-06-2023;06-07-2023;VOO.US;US9229083632;3,31;1,42000000;4,0869;13,53;5,80
21-09-2023;28-09-2023;NOBL.US;US74348A4673;2,92;1,25000000;4,3622;12,74;5,45
29-09-2023;04-10-2023;VGT.US;US92204A7028;0,62;0,26000000;4,4012;2,73;1,14
29-09-2023;04-10-2023;VOO.US;US9229083632;3,14;1,34000000;4,4012;13,82;5,90
15-12-2023;22-12-2023;URNM.US;US85208P3038;36,77;15,76000000;3,9645;145,77;62,48
20-12-2023;25-12-2023;VGT.US;US92204A7028;0,55;0,24000000;3,9338;2,16;0,94
19-12-2023;25-12-2023;VNM.US;US92189F8178;18,35;7,86000000;3,9338;72,19;30,92
21-12-2023;27-12-2023;VOO.US;US9229083632;3,78;1,62000000;3,9338;14,87;6,37
21-12-2023;29-12-2023;NOBL.US;US74348A4673;3,67;1,58000000;3,8990;14,31;6,16
28-12-2023;30-12-2023;VNM.US;US92189F8178;0,52;0,22000000;3,9350;2,05;0,87
29-12-2023;09-01-2024;URA.US;US37954Y8710;35,31;15,14000000;3,9812;140,58;60,28
11-12-2023;10-01-2024;DIS.US;US2546871060;0,21;0,09000000;3,9612;0,83;0,36
